COMPONENT,LOINC_NUM
PROMIS pediatric item bank - meaning and purpose - version 1.0,91454-9
PROMIS pediatric item bank - fatigue - version 2.0,91534-8
PROMIS pediatric item bank - depressive symptoms - version 2.0,91536-3
PROMIS pediatric item bank - asthma impact - version 2.0,91538-9
PROMIS pediatric item bank - anxiety - version 2.0,91540-5
Duke Treadmill Score panel,91550-4
General Well-Being Schedule - 18 item,91629-6
Medical Outcomes Study Social Support Survey panel,91642-9
PROMIS item bank - upper extremity - version 2.0,91611-4
Mood and Feelings Questionnaire Adult self-report short form,91689-0
Mood and Feelings Questionnaire Adult self-report long form,91688-2
Corticotropin post corticotropin releasing hormone stimulation panel,91707-0
PROMIS item bank - mobility - version 2.0,91613-0
PROMIS item bank - physical function - version 2.0,91722-9
Anaplasma phagocytophilum & Ehrlichia chaffeensis DNA panel,91899-5
Primary contact information panel,91704-7
Organization contact information panel,90055-5
PROMIS parent proxy item bank - fatigue - version 2.0,91933-2
PROMIS pediatric item bank - pain behavior - version 1.0,91936-5
Self-Efficacy Survey version 2.0 - CAT item bank - ages 13-17,91530-6
Positive Affect Survey version 2.0 - parent report - fixed length form - ages 3-7,84802-8
PROMIS parent proxy item bank - anxiety - version 2.0,91988-6
PROMIS parent proxy item bank - physical stress experiences - version 1.0,92077-7
PROMIS parent proxy item bank - meaning purpose - version 1.0,92080-1
PROMIS item bank - dyspnea severity - version 1.0,92148-6
PROMIS item bank - smoking - coping expectancies for all smokers - version 1.0,92214-6
Microorganism identification & resistance pattern determination panel,92254-2
PROMIS item bank - smoking - emotional and sensory expectancies for all smokers - version 1.0,92226-0
PROMIS item bank - smoking - negative health expectancies for all smokers - version 1.0,92267-4
PhenX - house rules about tobacco use protocol 711101,92280-7
PROMIS item bank - smoking - nicotine dependence for all smokers - version v1.0,92306-0
PROMIS item bank - smoking - negative psychosocial expectancies for all smokers - version 1.0,92297-1
PROMIS item bank - smoking - social motivations for all smokers - version 1.0,92324-3
Personnel contact information panel,91003-4
PROMIS item bank - self-efficacy for managing daily activities - version 1.0,92392-0
PROMIS item bank - self-efficacy for managing emotions - version 1.0,92330-0
PROMIS item bank - self-efficacy for managing medications and treatments - version 1.0,92419-1
PROMIS item bank - self-efficacy for managing social interactions - version 1.0,92394-6
PROMIS item bank - self-efficacy for managing symptoms - version 1.0,92449-8
Blood group Ag & Hemoglobin S inferred phenotype panel,92514-9
Blood group Ag & Hemoglobin S inferred phenotype panel,92552-9
Maternal discharge summary - recommended IHE set,92576-8
Labor and delivery admission history and physical - recommended IHE set,92575-0
Labor and delivery summary - recommended IHE set,92574-3
PROMIS parent proxy short form - anxiety 8a - version 2.0,92586-7
PROMIS parent proxy short form - fatigue 10a - version 2.0,92587-5
PROMIS pediatric short form - pain behavior 8a - version 1.0,92581-8
PROMIS parent proxy short form - meaning and purpose 4a - version 1.0,92583-4
PROMIS parent proxy short form - meaning and purpose 8a - version 1.0,92582-6
PROMIS parent proxy short form - physical stress experiences 4a - version 1.0,92585-9
PROMIS parent proxy short form - physical stress experiences 8a - version 1.0,92584-2
PROMIS short form - self-efficacy for managing emotions 4a - version 1.0,92595-8
PROMIS short form - self-efficacy for managing emotions 8a - version 1.0,92594-1
PROMIS short form - self-efficacy for managing medications and treatments 4a - version 1.0,92593-3
PROMIS short form - self-efficacy for managing medications and treatments 8a - version 1.0,92592-5
PROMIS short form - self-efficacy for managing social interactions 4a - version 1.0,92591-7
PROMIS short form - self-efficacy for managing social interactions 8a - version 1.0,92590-9
PROMIS short form - self-efficacy for managing symptoms 4a - version 1.0,92589-1
PROMIS short form - self-efficacy for managing symptoms 8a - version 1.0,92588-3
PROMIS short form - self-efficacy for managing daily activities 4a - version 1.0,92597-4
PROMIS short form - self-efficacy for managing daily activities 8a - version 1.0,92596-6
PROMIS short form - smoking - coping expectancies for all smokers 4a - version 1.0,92604-8
PROMIS short form - smoking - emotional and sensory expectancies for all smokers 6a - version 1.0,92603-0
PROMIS short form - smoking - negative health expectancies for all smokers 6a - version 1.0,92602-2
PROMIS short form - smoking - nicotine dependence for all smokers 4a - version 1.0,92600-6
PROMIS short form - smoking - nicotine dependence for all smokers 8a - version 1.0,92599-0
PROMIS short form - smoking - negative psychosocial expectancies for all smokers 6a - version 1.0,92601-4
PROMIS short form - smoking - social motivations for all smokers 4a - version 1.0,92598-2
PROMIS short form - dyspnea severity 10a - version 1.0,92578-4
PROMIS short form - physical function 10a - version 2.0,92580-0
PROMIS short form - physical function 10b - version 2.0,92579-2
PROMIS short form - upper extremity 7a - version 2.0,92605-5
Chlamydia trachomatis & Neisseria gonorrhoeae & Trichomonas vaginalis DNA panel,92684-0
Chlamydia trachomatis & Neisseria gonorrhoeae & Trichomonas vaginalis DNA panel,92683-2
Vaginal pathogens panel,92703-8
Lipoprotein subparticle profile panel,92722-8
Hydroxyglutarates & Glutarate & Ethylmalonate & Methylsuccinate panel,92673-3
Hydroxyglutarates & Glutarate & Ethylmalonate & Methylsuccinate panel,92672-5
"Cholestane-3-beta, 5-alpha, 6-beta triol & Lyso-sphingomyelin panel",92741-8
"Cholestane-3-beta, 5-alpha, 6-beta triol & Lyso-sphingomyelin panel",92738-4
Oxysterols panel,92740-0
"7-Alpha,12-alpha dihydroxycholest-4-en-3-one & 7-Alpha hydroxy-4-cholesten-3-one panel",92737-6
"7-Alpha,12-alpha dihydroxycholest-4-en-3-one & 7-Alpha hydroxy-4-cholesten-3-one panel",92739-2
"7-Alpha,12-alpha dihydroxycholest-4-en-3-one & 7-Alpha hydroxy-4-cholesten-3-one panel",92746-7
Hepatosplenomegaly due to lysosomal storage disorders screening panel,92745-9
Hepatosplenomegaly due to lysosomal storage disorders screening panel,92744-2
Hepatosplenomegaly due to lysosomal storage disorders screening panel,92743-4
Gram positive blood culture panel,92789-7
Blood fungal pathogens panel,92805-1
Borrelia afzelii+burgdorferi+garinii Ab.IgG panel,92815-0
Glucose post glucagon stimulation panel,92820-0
Growth hormone & glucose post cloNIDine stimulation panel,92666-7
Respiratory pathogens DNA & RNA panel,92143-7
Basement membrane zone BP180 & BP230 Ab.IgG panel,92671-7
Candida sp & Gardnerella vaginalis & Trichomonas vaginalis DNA panel,92724-4
Herpes simplex virus 1 & 2 & Varicella zoster virus DNA panel,92847-3
Herpes simplex virus 1 & 2 & Varicella zoster virus DNA panel,92849-9
Herpes simplex virus 1 & 2 & Varicella zoster virus DNA panel,92862-2
Herpes simplex virus 1 & 2 & Varicella zoster virus DNA panel,92861-4
Chlamydophila pneumoniae & Mycoplasma pneumoniae DNA panel,92860-6
Chlamydophila pneumoniae & Mycoplasma pneumoniae DNA panel,92859-8
Adenovirus & Bocavirus DNA panel,92853-1
Adenovirus & Bocavirus DNA panel,92852-3
Herpes simplex virus 1 & 2 DNA panel,92869-7
Herpes simplex virus 1 & 2 DNA panel,92868-9
Herpes simplex virus 1 & 2 DNA panel,92867-1
Herpes simplex virus 1 & 2 DNA panel,92866-3
Herpes simplex virus 1 & 2 DNA panel,92865-5
Herpes simplex virus 1 & 2 DNA panel,92864-8
Herpes simplex virus 1 & 2 DNA panel,92863-0
Human coronavirus 229E+HKU1+NL63+OC43 & Parainfluenza virus 1+2+3+4 RNA panel,92877-0
Human coronavirus 229E+HKU1+NL63+OC43 & Parainfluenza virus 1+2+3+4 RNA panel,92876-2
Human metapneumovirus & Respiratory syncytial virus RNA panel,92881-2
Human metapneumovirus & Respiratory syncytial virus RNA panel,92880-4
Influenza virus A & B RNA panel,92882-0
Hepatitis B virus core Ab & surface and little e Ab & Ag panel,92898-6
Hepatitis A & B & C virus immunity &or previous exposure panel,92890-3
Chronic hepatitis differentiation between B & C virus panel,92889-5
Measles & Mumps & Rubella virus Ab.IgG panel,92929-9
Catecholamines 3 panel,92938-0
PhenX - body proportions protocol 220201,93000-8
Scale for the Assessment and Rating of Ataxia,93016-4
"Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences",93025-5
Multiple myeloma minimal residual disease panel,93022-2
Noninvasive prenatal fetal aneuploidy and microdeletion panel,92901-8
Respiratory pathogens DNA & RNA panel,92958-8
Giardia lamblia & Cryptosporidium parvum Ag panel,91675-9
Histoplasma capsulatum H & M Ab & Blastomyces dermatitidis Ab panel,91683-3
Histoplasma capsulatum H & M Ab panel,91684-1
Outcome and assessment information set (OASIS) form - version D1,93055-2
Nulliparous Pregnancy Outcomes Study Monitoring Mothers-to-Be Difficulties in Pregnancy form,93084-2
Revised Prenatal Distress Questionnaire - Concurrent Self-Administered Version,93083-4
Quality of Working Life Questionnaire for Cancer Survivors,93088-3
New York Heart Association Functional Classification,93124-6
Inpatient Rehabilitation Facility - Patient Assessment Instrument - version 4.0,93128-7
PhenX - bone age protocol 220301,93149-3
Bone age assessment - Tanner-Whitehouse (TW2) associated observations panel,93187-3
Long-Term Care Hospital (LTCH) Continuity Assessment Record and Evaluation (CARE) Data Set (LCDS) - version 5.00,93223-6
Columbia - suicide severity rating scale - lifetime recent,93245-9
Warfarin response genotype panel,93196-4
PT mixing study panel,93321-8
Platelet glycoprotein disorder panel,93320-0
Neutrophil CD64 & Monocyte HLA DR panel,93354-9
Columbia - suicide severity rating scale screener - recent,93373-9
Gram negative blood culture panel,93407-5
PhenX - complete blood count protocol 220501,93340-8
Alpha 1 antitrypsin fecal clearance panel,93419-0
Synthetic opioids panel,93474-5
Emergency contact information panel,56796-6
Cortisol post corticotropin releasing hormone stimulation panel,93480-2
Columbia - suicide severity rating scale - very young child or cognitively impaired - lifetime recent,93485-1
Home accessibility modification panel,93666-6
WellRx Questionnaire - revised,93667-4
Large B-cell lymphoma classification panel,93785-4
Diffuse large B-Cell lymphoma cell of origin subclassification panel,93784-7
Glucose tolerance & insulin sensitivity 2H panel,93794-6
Bile acid panel,93338-2
Plasma cell DNA content & proliferation panel,93363-0
Monotypic plasma cell identification & risk stratification panel,93357-2
Anaplasma phagocytophilum & Ehrlichia chaffeensis Ab.IgG & IgM panel,93370-5
HTLV I & II Ab.IgG panel,93744-1
Creatinine panel,93736-7
Epstein Barr virus Ab panel,93711-0
Francisella tularensis Ab.IgG & IgM panel,93715-1
Porphyrin fractions panel,93707-8
Palmitoyl protein thioesterase 1 & Tripeptidyl peptidase 1 panel,93704-5
Palmitoyl protein thioesterase 1 & Tripeptidyl peptidase 1 panel,93703-7
Ethyl sulfate & Ethyl glucuronide panel,93705-2
Rickettsia rickettsii & Coxiella burnetii phase 1 & Coxiella burnetii phase 2 Ab.IgG panel,93511-4
Nonalcoholic steatohepatitis & fibrosis panel,93691-4
ABO & Rh group post transfusion reaction panel,93923-1
Rh antigens & K Ag post transfusion reaction panel,93922-3
ABO & Rh group panel,93916-5
Rh antigens & K Ag panel,93915-7
Rh antigens & K Ag panel,93951-2
ABO & Rh group panel,93949-6
Rh antigens & K Ag panel,93947-0
ABO & Rh group during infancy panel,93941-3
Rh antigens & K Ag during infancy panel,93939-7
ABO & Rh group post hematopoietic stem cell transplant panel,93933-0
Rh antigens & K Ag post hematopoietic stem cell transplant panel,93929-8
Blood group antigens panel,93914-0
Chikungunya virus Ab.IgM & IgG panel,93976-9
Ceramide panel,93883-7
Carbohydrate challenge panel,93989-2
Toxoplasma gondii Ab.IgG panel,93858-9
Person-Centered Primary Care Measure,94066-8
Water deprivation challenge panel,94129-4
Color Me Healthy - children's symptom assessment app panel,94067-6
Transfusion reaction panel,93904-1
Gas & CO & electrolytes panel,93685-6
Mycobacterium tuberculosis complex resistance panel,94053-6
HEDIS 2020 Value Sets,94137-7
Dermatan sulfate & heparan sulfate & keratan sulfate panel,93726-8
Herpes Simplex Virus 1 & 2 DNA Panel,93440-6
Busulfan area under the curve panel,93478-6
Mumps virus RNA & N gene panel,93750-8
Gram negative bacterial resistance panel,93698-9
Benzodiazepines panel,94117-9
PROMIS parent proxy item bank - mobility - version 1.0,94161-7
PROMIS parent proxy item bank - pain interference - version 1.0,94162-5
PROMIS parent proxy - global health 7 - version 1.0,94165-8
PROMIS parent proxy short form - mobility 8 - version 1.0,94166-6
PROMIS parent proxy short form - pain interference 8 - version 1.0,94180-7
Borrelia sp panel,94253-2
PROMIS pediatric - global health 7 - version 1.0,94257-3
PROMIS parent proxy short form - physical function - upper extremity 8 - version 1.0,94169-0
CD11a & CD11b & CD18 phenotyping panel,94266-4
SARS coronavirus 2 RNA panel,94306-8
PhenX - ethnicity protocol 010502,94158-3
PhenX - age of initiation of first cigarette use - adult protocol 030703,94157-5
PROMIS parent proxy item bank - pain behavior - version 1.0,91204-8
PhenX - human papillomavirus vaccine use protocol 100802,94327-4
Patient Health Questionnaire 8 item,94329-0
OxyCODONE & metabolites panel,94304-3
OxyMORphone & Noroxymorphone panel,94305-0
Pregnenolone & 17-Hydroxypregnenolone panel,94303-5
"Sulfocysteine, Hypoxanthine, Xanthine, Urate & Creatinine panel",94397-7
Respiratory pathogens DNA & RNA panel,94393-6
Myelopathy autoimmune Ab panel,94353-0
Myelopathy autoimmune Ab panel,94339-9
Desmoglein 1 & Desmoglein 3 Ab.IgG panel,94335-7
Microsporidia sp 18S rRNA gene panel,94332-4
PhenX - Use of creatine growth hormone and steroids protocol 230801,94451-2
HLA-A & B & C (class I) Ab.IgG panel,94446-2
HLA-DP & DQ & DR (class II) Ab.IgG panel,94440-5
HLA class I & II Ab.IgG panel,94428-0
SARS coronavirus 2 Ab panel,94503-0
SARS coronavirus 2 Ab panel,94504-8
Respiratory viral pathogens DNA & RNA panel,94499-1
F2 gene.c.20210G>A & F5 gene.c.1691G>A panel,94469-4
SARS coronavirus 2 RNA panel,94531-1
Porphyrin fractions panel,94548-5
Dermatan sulfate & heparan sulfate & keratan sulfate panel,94586-5
Identifier & Assigning authority panel,94655-8
Known exposure panel,94654-1
Delayed hypersensitivity anergy panel,94667-3
Calcidiol+ercalcidiol/24r-Hydroxycalcidiol+24r-Hydroxyercalcidiol ratio panel,94674-9
Multiplex allergen panel,94593-1
Dermatan sulfate & heparan sulfate & chondroitin-6-sulfate & keratan sulfate panel,94691-3
Axonal autoimmune Ab panel,94695-4
Dementia autoimmune Ab panel,94696-2
Encephalopathy autoimmune Ab panel,94697-0
Epilepsy autoimmune Ab panel,94698-8
Liver diseases autoimmune Ab panel,94700-2
Movement disorder autoimmune Ab panel,94701-0
Dementia autoimmune Ab panel,94707-7
Encephalopathy autoimmune Ab panel,94708-5
Epilepsy autoimmune Ab panel,94709-3
Movement disorder autoimmune Ab panel,94712-7
Functional assessment standardized items (FASI) - version 1.0,94848-9
Catecholamines supine and standing panel,95056-8
Coagulation factor VIII activity & inhibitor panel,95121-0
Insulin post fasting and meal stimulation panel,95110-3
Glucose post fasting and meal stimulation panel,95102-0
Glucagon post fasting and meal stimulation panel,95091-5
C peptide post fasting and meal stimulation panel,95080-8
Paraneoplastic Ab panel,94818-2
Cytomegalovirus DNA panel,95136-8
Parvovirus B19 DNA panel,95137-6
Epstein Barr virus DNA panel,95138-4
Varicella zoster virus DNA panel,95139-2
Herpes simplex virus 1 & 2 DNA panel,95140-0
Hepatitis A virus Ab.IgM panel,95142-6
Clostridioides difficile toxin & BI-NAP1-027 strain DNA panel,95183-0
Hepatitis D virus Ab panel,95141-8
Hepatitis D virus RNA panel,95144-2
Hepatitis B virus core Ab panel,95145-9
Hepatitis B virus core Ab.IgM panel,95146-7
Hepatitis B virus DNA panel,95147-5
Hepatitis B virus surface Ag & little e Ab & Ag panel,95148-3
Hepatitis B virus surface Ag panel,95149-1
Complete blood count W Differential panel,95215-0
Cytomegalovirus T-cell immunodeficiency panel,95184-8
Hepatitis C virus Ab panel,95206-9
Hepatitis D virus Ab.IgM panel,95239-0
Hepatitis E virus RNA panel,95207-7
U.S. Household Food Security Survey,95246-5
U.S. Adult Food Security Survey,95353-9
Lensmeter panel,95318-2
Keratometry panel,95298-6
Pretransplant assessment of mortality score panel,95356-2
Rabbit hemorrhagic disease virus RNA panel,95358-8
U.S. Household Food Security Survey - Six-Item Short Form,95361-2
Influenza virus A & Influenza virus B & SARS coronavirus 2 & SARS-related coronavirus RNA panel,95380-2
Glycerol & Glycerol-corrected triglyceride panel,94859-6
Transthyretin-associated familial amyloidosis panel,94864-6
Platelet & HLA glycoprotein antibody panel,95270-5
West Nile virus Ab.IgG & IgM panel,94854-7
West Nile virus Ab.IgG & IgM panel,94853-9
Safe Environment for Every Kid parent questionnaire - revised,95403-2
Tyrosinemia newborn screening follow-up & therapeutic monitoring panel,94573-3
Celiac disease serology panel,94494-2
Celiac disease IgA & HLA typing & serology panel,94493-4
HLA-DQA1 & HLA-DQB1 typing panel,94492-6
Hemoglobin HPLC & electrophoresis panel,94538-6
Hemoglobin panel,94537-8
Hepatitis B virus surface Ab panel,95205-1
Pancreatic exocrine function panel,95362-0
Vitamin B6 & metabolites panel,95266-3
Cholesterol & triglyceride panel,94872-9
Lipid & glucose panel,95126-9
Cortisol.free post corticotropin stimulation panel,94873-7
Aldosterone & sodium panel,94871-1
Herpes simplex virus 1 & 2 & Varicella zoster virus DNA panel,94585-7
Herpes simplex virus 1 & 2 DNA panel,94583-2
Herpes simplex virus 1 & 2 DNA panel,94580-8
Heavy metals panel,94575-8
Heavy metals panel,94574-1
Protoporphyrin fractions panel,94490-0
Branched chain amino acid panel,94571-7
Maple syrup urine disease therapy monitoring panel,94566-7
Lysosomal storage disorders panel,94489-2
Hepatitis A virus Ab.IgM & total panel,94539-4
Mycobacterial identification panel,94541-0
Mycobacterial stain & culture panel,94540-2
Carbamazepine hypersensitivity genotype panel,94855-4
Connective tissue autoimmune Ab.IgG panel,95267-1
Assay related variables panel,95405-7
Wound size panel,72287-6
Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel,95422-2
NIDA-Modified ASSIST version 2.0,95513-8
Angiotensin II & angiotensin (1-7) panel,95515-3
HIV 1 & 2 Ab panel,95523-7
Chromium & cobalt panel,95525-2
NIDA Quick Screen,95528-6
Human papilloma virus high-risk genotypes panel,95532-8
"Hurts, insults, threatens, and screams",95619-3
"Neonatal pain, agitation, & sedation scale panel",95620-1
Adrenal cancer risk assessment & urine steroid fractions panel,95556-7
Opioids panel,95796-9
Immunoglobulin light chains.free & immunofixation panel,95801-7
Cholesterol & triglyceride & chylomicrons panel,95808-2
SARS coronavirus 2 RNA panel,95826-4
Hematopoietic progenitor cell product characterization panel,95830-6
T cell product characterization panel,95828-0
Cell count & Differential panel,95846-2
Somatotropin post macimorelin stimulation panel,95851-2
BRIEF health literacy screening tool,95866-0
Brief cognitive assessment tool short form,95872-8
Brief anxiety and depression scale,95875-1
Fungal pathogens panel,95919-7
Fungal pathogens panel,95918-9
Pulmonary vasodilator test panel,95930-4
Influenza virus A & Influenza virus B & SARS coronavirus 2 & Respiratory syncytial virus RNA panel,95941-1
Skindex mini,96034-4
Skindex-29,95996-5
Skindex-16,95975-9
"Wound, ischemia, and foot infection classification system panel",96036-9
Influenza virus A & Influenza virus B & SARS coronavirus+SARS coronavirus 2 Ag panel,95942-9
HEDIS Measurement Year 2020 Value Sets,96068-2
SARS coronavirus 2 & SARS-related coronavirus RNA panel,96094-8
Bed category panel,92203-9
University of Texas diabetic wound classification system panel,96106-0
SARS coronavirus 2 Ab panel,96118-5
Arsenic fractions panel,96253-0
Saint Louis encephalitis virus Ab.IgG & IgM panel,96255-5
Saint Louis encephalitis virus Ab.IgG & IgM panel,96254-8
WE CARE Survey,96447-8
LACE index panel,96569-9
U.S. Child Food Security Survey,96576-4
Retinol & Alpha tocopherol panel,96600-2
"Methadone & 2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine panel",96602-8
Pattern electroretinography panel,96246-4
Multifocal electroretinography panel,96227-4
La Crosse virus Ab.IgG & IgM panel,96499-9
La Crosse virus Ab.IgG & IgM panel,96498-1
Hepatocellular carcinoma risk panel,96452-8
Alpha-1-Fetoprotein & Alpha-1-Fetoprotein.L3 panel,96451-0
Pancreatic polypeptide sham feeding panel,96414-8
DOCK8 expression panel,96415-5
Clot formation.kaolin induced panel,96690-3
Clot formation.glass bead induced panel,96689-5
Clot formation.diatomaceous earth+clay induced panel,96688-7
Clot formation.diatomaceous earth induced panel,96687-9
Clot formation & Platelet function.glass bead induced panel,96686-1
Clot formation & Platelet function.glass bead induced post heparin neutralization panel,96685-3
HLA-A & B & C (class I) typing panel,96614-3
HLA-A & B & C (class I) typing panel,96615-0
HLA-A & B & C (class I) typing panel,96628-3
HLA-A & B & C (class I) typing panel,96629-1
HLA-DP & DQ & DR (class II) typing panel,96637-4
HLA-DP & DQ & DR (class II) typing panel,96638-2
HLA-DP & DQ & DR (class II) typing panel,96639-0
HLA-DP & DQ & DR (class II) typing panel,96640-8
HIV 1 & 2 RNA panel,96557-4
Hyperoxaluria panel,96500-4
Indoor respiratory allergen Ab.IgE panel,96185-4
Dermatology autoimmune Ab panel,96186-2
B & T cell crossmatch panel,96046-8
T-cell naive & memory & activated subsets panel,96493-2
MyMemCheck assessment panel,96700-0
Blood pressure panel,96607-7
Chlamydia trachomatis & Neisseria gonorrhoeae & Trichomonas vaginalis DNA panel,96612-7
Treponema pallidum & Haemophilus ducreyi & Herpes simplex virus DNA panel,96611-9
SARS coronavirus 2 stimulated gamma interferon panel,95974-2
Insulin XXX challenge panel,50673-3
Retinol binding protein panel,96399-1
Retinol binding protein panel,96401-5
Coagulation factor II activity & inhibitor panel,96455-1
Coagulation factor IX activity & inhibitor panel,96459-3
Coagulation factor V activity & inhibitor panel,96458-5
Coagulation factor VIII activity & inhibitor panel,96456-9
Coagulation factor X activity & inhibitor panel,96457-7
Coagulation factor XI activity & inhibitor panel,96453-6
Renal clearance & Renal plasma flow panel,96403-1
Association of Asian Pacific Community Health Organizations enabling services and social intervention panel,96749-7
Barthel index panel,96762-0
Service integration panel,96771-1
Accountable health communities health-related social needs screening tool,96777-8
howRwe panel,96783-6
Cortisol & glucose & somatotropin post arginine stimulation panel,96798-4
Cobalamins & folate panel,96805-7
Sequential Organ Failure Assessment,96789-3
Coronavirus racial bias scale,96831-3
Coronavirus anxiety scale,96834-7
"Tobacco, Alcohol, Prescription medications, and other Substance use screen",96841-2
"Tobacco, Alcohol, Prescription medications, and other Substance use assessment",96845-3
COVID-19 participant experience survey,96892-5
SARS coronavirus 2 sequencing & identification panel,96894-1
SARS coronavirus 2 RNA panel,96897-4
Acanthamoeba sp & Naegleria fowleri & Balamuthia mandrillaris DNA panel,96910-5
Delta aminolevulinate & porphobilinogen panel,96911-3
Personal well-being panel,96929-5
Person-specific outcome panel,96936-0
Social contact panel,96939-4
Health confidence panel,96945-1
Social determinants of health panel,96951-9
Noninvasive prenatal fetal aneuploidy & 22q11.2 deletion panel,96978-2
Noninvasive prenatal fetal aneuploidy panel,96977-4
Accountable health communities health-related social needs supplemental questions,97023-6
Spine Tango surgery follow-up 2017,97029-3
Finnish diabetes risk score panel,97055-8
Medical history for preventive vaccination against COVID-19 (Coronavirus Disease 2019) - with mRNA vaccine,97065-7
COVID-19 experiences - media use panel,97096-2
COVID-19 experiences - coping panel,97147-3
COVID-19 experiences - employment and school changes panel,97123-4
Phosphatidylserine-prothrombin complex Ab.IgG & IgM panel,97026-9
Core Outcome Measures Index for the Neck,97327-1
Pain severity & Body site panel,97339-6
Prion disease biomarker panel,97502-9
Fungal Ab panel,97511-0
Somatotropin post glucose stimulation panel,97533-4
Gas panel,97535-9
Gastrointestinal dysmotility autoimmune Ab panel,97557-3
Necrotizing myopathy autoimmune Ab panel,97561-5
Nuclear antibody panel,97564-9
Myasthenia gravis & Lambert-Eaton syndrome autoimmune Ab panel,97566-4
Alcohol use disorder identification test,72110-0
Spine Tango Surgery 2017,97782-7
Blood pressure panel,97844-5
Name panel,97845-2
Fungal Ab panel,97859-3
Stay Independent panel,97874-2
Core Outcome Measures Index for the Back,97887-4
Sleep Panel,97890-8
Self-care panel,97896-5
Fatigue panel,97902-1
Oswestry Disability Index,97908-8
Neonatal infant pain scale panel,98008-6
Natural killer cell cytotoxicity.IL-2 stimulated panel,98030-0
Glial fibrillary acidic protein & Ubiquitin carboxyl-terminal hydrolase-L1 panel,97602-7
Influenza virus types A & B & subtypes RNA panel,97733-0
Yersinia outer protein Ab panel,97172-1
Lymphocyte T-cell & B-cell & Natural killer subsets panel,97593-8
Joint pathogens panel,97608-4
Thrombin generation test panel,97915-3
Mephobarbital & PHENobarbital panel,97183-8
Carnitine free & total & acylcarnitine panel,97182-0
Carbapenem resistant bacteria identification & resistance panel,97324-8
Staphylococcus aureus identification & resistance panel,97326-3
Amphetamines panel,97161-4
HIV 1 Ab panel,97860-1
HIV 2 Ab panel,97861-9
Herpes virus 8 Ab.IgG & IgM panel,97862-7
Parainfluenza virus 1 & 2 & 3 Ab panel,97864-3
Chikungunya virus Ab.IgM & IgG panel,97865-0
Yellow fever virus Ab panel,97868-4
Zika virus Ab panel,97869-2
Hantavirus Ab.IgG & IgM panel,97871-8
Rabies virus Ab panel,97872-6
Magnesium & phosphate & lactate panel,97759-5
Influenza virus A & Influenza virus B & SARS coronavirus 2 Ag panel,97099-6
aPTT mixing study panel,97024-4
Patient-centered disability questionnaire,98067-2
Natural killer & natural killer T cell subsets panel,98073-0
Child-Pugh panel,98153-0
SARS-CoV-2-related socioeconomic questionnaire for adults,98154-8
Cancer pathology panel,98249-6
Diagnostic audiology results panel,98418-7
Rowland Universal Dementia Assessment Scale,98093-8
Post COVID-19 functional status scale,98071-4
Neutrophil.PMA stimulated DHR panel,98124-1
Neutrophil.fMLP stimulated DHR panel,98123-3
Neutrophil.fMLP & PMA stimulated DHR panel,98122-5
Intravascular coagulation and fibrinolysis panel,98125-8
Borrelia burgdorferi Ab.IgG & IgM panel,98207-4
Borrelia burgdorferi Ab.IgG & IgM & total panel,98205-8
Borrelia burgdorferi Ab.IgG & IgM bands panel,98204-1
Legionella pneumophila Ab.IgG & IgM panel,98209-0
Treponema pallidum Ab.IgG & IgM & bands panel,98219-9
Reagin Ab & Treponema pallidum Ab.IgG & IgM & total panel,98214-0
Treponema pallidum Ab.IgG & IgM & bands panel,98213-2
Reagin Ab & Treponema pallidum Ab.IgG & IgM & total panel,98212-4
Salmonella spp Ab panel,98211-6
Zimnitsky urine concentration panel,98126-6
SARS coronavirus 2 & SARS-related coronavirus RNA panel,98080-5
CD154 expression & function panel,98239-7
Retrograde ejaculation evaluation panel,98412-0
Liver fibrosis score panel,98491-4
Apolipoprotein E & beta amyloid Alzheimer's risk panel,98492-2
Perceived Stress Survey - fixed length form - age 18+,91528-0
Fear-Affect Survey - CAT item bank - age 18+,91529-8
Simplified disease activity index,75843-3
Osteoporosis Self-Assessment Tool,98146-4
Osteoporosis Index of Risk panel,98133-2
Osteoporosis Risk Assessment Instrument,98139-9
Color vision panel,98495-5
PROMIS item bank - dyspnea characteristics - version 1.0,98520-0
PROMIS item bank - psychosocial illness impact - negative - version 1.0,98602-6
PROMIS item bank - dyspnea airborne exposure - version 1.0,98533-3
PROMIS item bank - dyspnea emotional response - version 1.0,98536-6
Nerve conduction study panel,98604-2
Electromyography panel,98716-4
Visual acuity panel,98497-1
Phoropter panel,98853-5
COVID-19 comorbidity and healthcare questionnaire,98871-7
Sensory nerve conduction panel,98696-8
Motor nerve conduction panel,98703-2
F-wave motor nerve conduction panel,98704-0
Repetitive motor nerve stimulation panel,98706-5
SARS-CoV-2-related socioeconomic questionnaire for school-age children,98872-5
COVID-19 related household finances,98889-9
Hemolytic anemia panel,98903-8
Osmotic fragility panel,98904-6
Red blood cell membrane evaluation panel,98905-3
Hemoglobinopathy panel,98907-9
Methemoglobin & sulfhemoglobin panel,98902-0
Knee injury and osteoarthritis outcome score - physical function shortform panel,98915-2
WHO Quality of life-BREF,98917-8
Hip disability and osteoarthritis outcome score - physical function shortform panel,98945-9
Nutritional Risk Screening 2002 panel,98967-3
